Putative_species,Original_order,Accession,Style_length,Stamen_length,Flower_length,Flower_width,Pedicel_length,Tooth_length,Tooth_width,Sinus_depth,Leaf_width,Leaf_length,Free_stipule_length,Petiole_hair_length,Laminar_hairs,Viscid,Pendent_fls,Calciphile,Bloom_date,Axis_3,Notes
missouriensis,59,Tryon_4172_MIN,1.39,1.59,2.62,1.4,7.95,2.69,5.21,4.18,9.6,7.1,1.9,0.49,0.61,1,0,0,8/31/38,0.50286,
missouriensis,60,MacMahon_6_MIN,0.77,0.97,2.3,1.83,6.18,3.01,4.72,5.7,6.7,5.2,1.02,0.93,0.55,1,0,0,11/2/58,-0.90237,
missouriensis,61,Tryon_4172_MIN,1.32,1.07,2.3,1.75,8.89,4.64,10.98,5.11,10.5,7.2,2.44,0.65,0.32,1,0,0,8/31/38,0.098115,
missouriensis,62,Steyermark_11542_MIN_(type_loc),1.55,1.37,2.01,1.38,2.8,4.38,8.32,2.51,11.3,7,2.07,2.72,0.72,1,0,1,7/9/36,-0.54294,
missouriensis,63,Braun_4844_MIN,0.73,1.17,1.61,1.42,2.12,1.85,4.68,5.35,8.8,5.7,1.83,1.09,0.8,1,0,0,8/17/48,0.55628,
missouriensis,64,Eggleston_5467_MIN,1.39,1.21,1.99,1.56,5.31,2.19,5.53,4.14,6.6,4.6,1.11,0.33,0.52,1,0,0,10/11/09,0.76797,
puberula,65,Demaree_25272_MIN,1.79,1.79,2.08,2.1,6.38,3.07,9.06,4.9,9.3,5.9,2.57,0.19,0.33,1,1,1,9/24/44,0.78007,
puberula,66,Demaree_23511_MIN,2.22,1.03,2.09,2.32,8.37,3.12,7.55,5.84,8.3,4.9,1.44,0.41,0.64,1,1,1,7/12/42,-0.47967,
puberula,67,Demaree_54791_MIN,1.56,1.57,2.83,2.17,8.31,3,6.43,3.93,5.1,3.2,1.02,0.21,0.59,1,1,1,10/8/66,0.22371,
puberula,68,Bush_103_MIN,2.05,1.93,2.49,2.41,8.16,2.61,5.3,5.72,7.2,4.5,1.51,0.31,0.53,1,1,1,10/21/1893,-0.37292,
puberula,69,Steyermark_14631_MIN,1.83,1.38,2.29,2.08,4.84,2.08,4.48,4.2,6.5,4.5,1.06,0.07,0.38,1,1,1,8/7/34,0.63798,
puberula,70,Demaree_30265_MIN,1.76,1.64,2.57,1.47,9.93,1.49,6.2,2.68,8.4,6,1.42,0.25,0.48,1,1,1,10/22/50,1.6799,
puberula,71,Steyermark_15531_MIN,1.86,1.75,3.82,2.61,11.5,3.39,4.74,3.28,7,5.3,1.53,0.13,0.6,1,1,1,9/27/34,-1.2921,
puberula,72,Steyermark_69948_MIN,1.97,1.55,2.83,2.28,10.19,2.24,5.01,2.5,5.5,4,1.25,0.38,0.89,1,1,1,7/14/50,-1.2551,
puberula,73,Demaree_45798_MIN,1.92,1.41,2.45,1.9,6.7,2.85,4.61,4.88,9,6.8,1.35,0.5,0.52,1,1,1,7/15/62,-0.88385,
puberula,74,Demaree_29862_MIN,2.45,1.89,3.07,2.63,8.82,0.94,4.03,4.91,10.9,6.9,1.49,0.61,0.79,1,1,1,9/17/50,-0.47515,
puberula,75,Demaree_29862_MIN,1.91,1.88,2.88,2.05,3.93,3.38,5.7,4.91,7,5.6,1.91,0.56,0.66,1,1,1,7/17/50,-1.5471,
missouriensis,76,Steyermark_6342_MIN_(holotype_for_missouriensis),1.15,1.02,1.88,1.36,2.65,1.34,3.12,2.59,6.2,3.9,2.29,1.71,0.97,1,0,1,9/1/38,-0.73164,
panthertown,77,Godfrey_51818_DUKE_(of_Cold_mountain_type),1.51,1.55,1.86,1.37,8.19,2.5,5.53,4.89,5.7,7.9,1.72,0.35,0.45,0,1,0,8/9/51,-1.0058,Looks_like_panthertown_but_odd_locality
saurensis,78,Corell_4916_DUKE,1.82,1.58,2.19,1.39,10.03,3.09,7.27,3.88,10.7,6.2,1.77,1.95,0.66,1,1,0,10/26/35,0.54863,
saurensis,79,Williams_597_DUKE,2.21,1.6,2.3,1.91,5.73,2.13,5.18,2.6,5.8,4.2,1.85,1.58,0.72,1,1,0,9/1/41,-1.7985,
saurensis,80,Schallert_5313_DUKE_(Moores_Spring),1.31,1.31,2.13,2.1,9.21,0.92,2.86,2.36,4.7,7,1.52,2.02,0.55,1,1,0,8/20/21,-3.9198,
puberula,81,Kellogg_25732_DUKE_,1.58,1.38,2.34,1.52,6.72,2.11,3.98,3.09,6.3,4.9,1.51,0.02,1.27,1,1,1,8/13/31,1.5011,
missouriensis,82,Seymount_s.n._DUKE,1.1,1.8,2.25,1.71,3.47,2.85,5.37,5.34,5.7,3.7,0.76,0.83,0.5,1,0,0,11/5/1881,0.38504,
missouriensis,83,Evers_13244_SIU,1.05,0.76,1.44,1.06,2.71,2.07,7.28,3.04,5.4,3.6,2.36,1.15,0.49,1,0,0,8/21/48,0.82069,
missouriensis,84,Elias_s.n._SIU,1.14,0.83,1.54,1.11,4.4,1.86,4.3,4.56,6.8,4.6,0.73,1.36,0.4,1,0,0,Summer_1966,1.0365,
missouriensis,85,French_860_SIU,0.7,0.78,1.82,1.54,3.13,1.87,5.59,5.41,10.2,6.7,2.44,1.39,0.82,1,0,0,7/24/1873,-0.015401,
missouriensis,86,McCree_509_SIU,1.02,1.13,1.52,0.99,3.22,2.11,7.78,4.87,11.1,7.8,1.89,1.9,0.59,1,0,0,9/13/40,1.628,
missouriensis,87,McCree_457_SIU,1.05,1.41,2.04,1.4,3.99,4.8,6.45,6.38,8.1,5.2,1.68,1.97,0.41,1,0,0,9/14/40,-0.13032,
missouriensis,88,McCree_428_SIU,1.03,1.2,1.85,1.69,2.63,2.17,4.78,4.85,9.3,6.6,1.81,1.84,0.35,1,0,0,9/14/40,-0.75292,
