Putative_species,Original_order,Accession,Style_length,Stamen_length,Flower_length,Flower_width,Pedicel_length,Tooth_length,Tooth_width,Sinus_depth,Leaf_width,Leaf_length,Free_stipule_length,Petiole_hair_length,Laminar_hairs,Viscid,Pendent_fls,Calciphile,Bloom_date,Axis_3,Notes
puberula,166,Summers_7039_MO,2.41,1.92,3,2.26,7.47,1.8,5.73,3.3,6.6,5,1.52,0.01,0.38,1,1,1,9/11/94,1.7319,
puberula,167,Summers_3624_MO,2.43,2.13,2.81,2.05,7.76,2.87,7.06,4.34,9.2,6,1.74,0.42,0.86,1,1,1,8/21/90,-0.12881,
puberula,168,Summers_3635_MO,2.59,1.81,2.63,2.15,6.64,3.37,6.74,4.49,4.6,3.1,1.05,0.26,1.01,1,1,1,8/23/90,-0.59533,
puberula,169,Summers_3666_MO,2.38,1.68,2.6,1.84,11.48,2.06,3.14,2.72,4.4,2.8,1.46,0.29,0.78,1,1,1,8/30/90,-0.70339,
puberula,170,Summers_7011_MO,2.16,2.26,2.55,1.96,9.53,2.31,3.97,0.84,5.1,2.9,0.45,0.18,0.72,1,1,1,9/10/94,0.5739,
puberula,171,Summers_7189_MO,2.73,2.32,2.8,2.32,6.4,1.2,2.18,2.26,4.6,3.2,1.37,0.27,0.62,1,1,1,9/28/94,-1.4743,
puberula,172,Bush_s.n._MO,1.97,1.55,3.16,1.91,8,2.21,4.15,3.7,7.9,6.2,2.61,0.05,0.69,1,1,1,10/21/1893,0.093637,
puberula,173,Redfearn_1709_MO,3.24,2.5,2.98,1.77,9.95,3.03,5.54,2.86,5.3,3.8,1.54,0.51,0.89,1,1,1,9/29/69,-0.83936,
puberula,174,Summers_3696_MO,2,2.09,2.46,1.72,6.83,1.14,2.58,2.45,4,2.6,0.67,0.01,0.74,1,1,1,8/31/90,2.6449,
puberula,175,Steyermark_20510_MO,1.86,1.84,2.61,2.45,9.44,2.06,2.01,2.22,8.4,6.1,2.52,0.21,0.51,1,1,1,10/18/36,-2.1482,
puberula,176,Steyermark_8153_MO,2.59,1.74,3.08,2.39,10.19,2.52,5.89,3.41,11.7,7.6,1.62,0.35,0.38,1,1,1,10/9/32,-0.47826,
puberula,177,Redfearn_1467_MO,1.95,2.14,2.8,2.25,6.59,2.84,5.57,4.05,6.4,4.1,1.5,0.01,0.49,1,1,1,9/20/69,1.9254,
puberula,178,Summers_816_MO,1.74,1.72,3.06,2.64,9.57,1.29,2.53,2.2,5.8,3.6,2.41,0.01,0.21,1,1,1,9/27/80,0.93203,
puberula,179,Steyermark_19567_MO,2.46,1.64,2.41,1.81,3.62,1.96,4.81,2.68,5.6,4.5,1.42,0.27,0.63,1,1,1,8/24/35,-0.7451,
puberula,180,Bush_1119_MO,2.45,2.27,3.3,2.41,7.54,3.37,8.59,4.86,7.9,5.9,2.12,0.01,0.41,1,1,1,10/23/07,1.5624,
parviflora,181,Clausen_5636_NY,2.98,1.93,2.41,1.78,6.02,1.97,5.22,3.56,5.5,3.1,0.79,0.84,0.23,0,1,0,9/11/41,0.49552,
parviflora,182,Mackenzie_976_NY,1.98,1.95,2.17,1.39,15.46,0.53,3.74,1.52,6.6,4.8,0.52,0.97,0.56,0,1,0,8_or_9/1904,1.7539,
parviflora,183,McFarland_92_NY,2.12,1.97,2.27,1.66,10.99,2.06,6.89,1.99,7.3,4.8,0.76,0.95,0.68,0,1,0,8/29/40,0.59179,
parviflora,184,Cusick_25516_NY,2.09,1.96,2.06,1.27,5.72,2.51,7.2,3.96,9,5.9,1.1,2.77,1.57,0,1,0,7/12/86,0.41377,
parviflora,185,Hammer_129_NY,2.76,1.95,23.7,1.21,8.76,3.19,5.8,4.24,13.2,9.5,1.17,0.9,0.29,0,1,0,8/26/85,0.73061,
parviflora,186,Alexander_s.n._NY,2.24,2.43,3.07,1.72,8.68,2.25,7.36,2.96,10,6.1,0.95,1.25,0.75,0,1,0,9/27/33,0.71302,
parviflora,187,Reed_18065_NY,2.54,2.36,2.85,1.97,10.43,3.16,6.91,4.13,7.4,4.2,1.31,0.71,0.28,0,1,0,10/23/49,0.35617,
parviflora,188,Reed_17515_MO_(pine_mountain_short-style_type),2.67,2.92,2.78,1.72,10.98,1.85,4.62,3.07,7.6,4.2,1.06,0.94,0.24,0,1,0,10/1/49,0.95692,
parviflora,189,Reed_13551_MO,1.53,1.89,2.04,1.23,8.38,2.12,7.82,2.29,7.7,4.7,0.91,1.17,0.49,0,1,0,8/9/48,1.9863,
parviflora,190,Reed_10814_MO,2.15,2.95,2.93,1.72,9.84,3.92,8.36,6.2,16.5,9.9,1.86,1.13,0.61,0,1,0,11/8/47,0.79415,
parviflora,191,Reed_10655_MO,2.25,1.96,2.85,1.99,13.5,1.68,11.7,4.96,14.8,11,0.97,1.99,0.97,0,1,0,11/1/47,0.52212,
parviflora,192,Reed_10457_MO,3.6,2.86,2.6,2.08,16.56,1.13,5.89,5.24,12.4,7.3,1.45,1.52,0.23,0,1,0,10/4/47,0.83599,
parviflora,193,Duncan_9039_MO,2.7,2.11,2.61,1.61,7.62,1.39,7.21,3.32,11,7.6,0.87,1.53,0.66,0,1,0,10/10/48,0.83953,
parviflora,194,Spongberg_17226_MO,3.04,2.59,2.65,1.85,11.91,1.3,5.02,4.04,13.1,8.3,1.61,3.05,0.72,0,1,0,9/20/82,-0.27055,
parviflora,195,Eggert_s.n._MO,2.32,2.32,2.54,1.65,12.96,1.44,1.59,4.61,10.4,6.5,1.74,2.09,0.3,0,1,0,9/10/1898,-1.046,
